,text,n_word,start_pos,end_pos,label,source_index,category
129,Zürich,1,6616,6622,GPE,0,Physics
130,Anna's,1,6626,6632,GPE,0,Physics
131,Zum Grünen Glas,3,6648,6663,ORG,0,Physics
132,1869,1,6685,6689,DATE,0,Physics
133,"Apeldoorn, Netherlands",2,6701,6723,GPE,0,Physics
134,7 July 1872,3,6727,6738,DATE,0,Physics
135,Anna,1,6761,6765,PERSON,0,Physics
136,six years,2,6772,6781,DATE,0,Physics
137,Wilhelm's,1,6782,6791,PERSON,0,Physics
138,Röntgen,1,6933,6940,ORG,0,Physics
139,one,1,6966,6969,CARDINAL,0,Physics
140,Josephine Bertha Ludwig,3,6977,7000,PERSON,0,Physics
141,age 6,2,7023,7028,DATE,0,Physics
142,Anna's,1,7047,7053,PERSON,0,Physics
143,1887,1,7076,7080,DATE,0,Physics
144,two million,2,7097,7108,CARDINAL,0,Physics
145,Reichsmarks,1,7109,7120,PERSON,0,Physics
146,Röntgen,1,7168,7175,PERSON,0,Physics
147,Nobel,1,7310,7315,WORK_OF_ART,0,Physics
148,Röntgen,1,7329,7336,PERSON,0,Physics
149,"50,000",1,7349,7355,CARDINAL,0,Physics
150,Swedish,1,7356,7363,NORP,0,Physics
151,the University of Würzburg,4,7385,7411,ORG,0,Physics
152,Niederer Adelstitel,2,7520,7539,PERSON,0,Physics
153,von Röntgen,2,7615,7626,PERSON,0,Physics
154,World War I,3,7658,7669,EVENT,0,Physics
155,Röntgen,1,7671,7678,PERSON,0,Physics
156,his final years,3,7710,7725,DATE,0,Physics
157,Weilheim,1,7749,7757,GPE,0,Physics
158,Munich,1,7764,7770,GPE,0,Physics
159,Röntgen,1,7772,7779,PERSON,0,Physics
160,10 February 1923,3,7788,7804,DATE,0,Physics
161,113,1,7994,7997,CARDINAL,0,Physics
162,the Dutch Reformed Church,4,8016,8041,ORG,0,Physics
163,1901,1,8073,8077,DATE,0,Physics
164,Röntgen,1,8079,8086,PERSON,0,Physics
165,first,1,8103,8108,ORDINAL,0,Physics
166,Nobel Prize in Physics,4,8109,8131,WORK_OF_ART,0,Physics
167,Nobel,1,8337,8342,WORK_OF_ART,0,Physics
168,39,1,8353,8355,CARDINAL,0,Physics
169,Röntgen,1,8357,8364,PERSON,0,Physics
170,"50,000 Swedish krona",3,8377,8397,MONEY,0,Physics
171,Nobel Prize,2,8414,8425,WORK_OF_ART,0,Physics
172,the University of Würzburg,4,8457,8483,ORG,0,Physics
173,Marie,1,8490,8495,PERSON,0,Physics
174,Pierre Curie,2,8500,8512,PERSON,0,Physics
175,Röntgen,1,8514,8521,PERSON,0,Physics
176,Röntgen,1,8676,8683,PERSON,0,Physics
177,Barnard Medal for Meritorious Service to Science,7,8701,8749,WORK_OF_ART,0,Physics
178,1900,1,8753,8757,DATE,0,Physics
179,Rumford Medal,2,8781,8794,ORG,0,Physics
180,1896,1,8796,8800,DATE,0,Physics
181,Matteucci Medal,2,8802,8817,WORK_OF_ART,0,Physics
182,1896,1,8819,8823,DATE,0,Physics
183,Elliott Cresson Medal,3,8825,8846,WORK_OF_ART,0,Physics
184,1897,1,8848,8852,DATE,0,Physics
185,Nobel Prize for Physics,4,8854,8877,WORK_OF_ART,0,Physics
186,1901,1,8879,8883,DATE,0,Physics
187,November 2004,2,8888,8901,DATE,0,Physics
188,IUPAC,1,8902,8907,ORG,0,Physics
189,111,1,8929,8932,CARDINAL,0,Physics
190,Rg,1,8946,8948,PERSON,0,Physics
191,IUPAP,1,8965,8970,ORG,0,Physics
192,November 2011,2,8991,9004,DATE,0,Physics
193,Route Röntgen',2,9007,9021,FAC,0,Physics
194,CERN,1,9033,9037,ORG,0,Physics
195,Geneva,1,9039,9045,GPE,0,Physics
196,Switzerland,1,9047,9058,GPE,0,Physics
197,2013,1,9081,9085,DATE,0,Physics
198,the American Philosophical Society,4,9129,9163,ORG,0,Physics
199,1897,1,9167,9171,DATE,0,Physics
200,1907,1,9176,9180,DATE,0,Physics
201,the Royal Netherlands Academy of Arts and Sciences,8,9211,9261,ORG,0,Physics
202,the National Library of Medicine,5,9316,9348,ORG,0,Physics
203,Bethesda,1,9352,9360,GPE,0,Physics
204,Maryland,1,9362,9370,GPE,0,Physics
205,Today,1,9372,9377,DATE,0,Physics
206,Remscheid-Lennep,1,9382,9398,FAC,0,Physics
207,40 kilometres,2,9400,9413,QUANTITY,0,Physics
208,Röntgen's,1,9422,9431,GPE,0,Physics
209,Düsseldorf,1,9446,9456,GPE,0,Physics
210,the Deutsches Röntgen-Museum,3,9461,9489,FAC,0,Physics
211,Würzburg,1,9495,9503,GPE,0,Physics
212,the Röntgen Memorial Site,4,9613,9638,FAC,0,Physics
213,World Radiography Day,3,9640,9661,EVENT,0,Physics
214,World Radiography Day,3,9663,9684,EVENT,0,Physics
215,8 November,2,9784,9794,DATE,0,Physics
216,Röntgen's,1,9845,9854,EVENT,0,Physics
217,first,1,9873,9878,ORDINAL,0,Physics
218,2012,1,9893,9897,DATE,0,Physics
219,the European Society of Radiology,5,9928,9961,ORG,0,Physics
220,the Radiological Society of North America,6,9963,10004,ORG,0,Physics
221,the American College of Radiology,5,10010,10043,ORG,0,Physics
222,Röntgen Peak,2,10045,10057,FAC,0,Physics
223,Antarctica,1,10061,10071,LOC,0,Physics
224,Wilhelm Röntgen,2,10087,10102,PERSON,0,Physics
225,6401,1,10117,10121,CARDINAL,0,Physics
226,Roentgen,1,10122,10130,PERSON,0,Physics
227,German,1,10168,10174,NORP,0,Physics
228,Röntgen Memorial Site,3,10201,10222,ORG,0,Physics
229,Wilhelm Röntgen,2,10266,10281,PERSON,0,Physics
230,"Nobelprize.org 
Annotated",2,10285,10310,WORK_OF_ART,0,Physics
231,Wilhelm Röntgen,2,10328,10343,PERSON,0,Physics
232,the Alsos Digital Library Archived,5,10349,10383,ORG,0,Physics
233,3 August 2017,3,10384,10397,DATE,0,Physics
234,"the Wayback Machine
Wilhelm Conrad Röntgen Biography
The Cathode Ray Tube",9,10401,10474,WORK_OF_ART,0,Physics
235,"The American Roentgen Ray Society
Deutsches Röntgen-Museum",6,10502,10560,ORG,0,Physics
236,German Röntgen Museum,3,10562,10583,FAC,0,Physics
237,Remscheid-Lennep,1,10585,10601,FAC,0,Physics
238,Wilhelm Röntgen,2,10621,10636,PERSON,0,Physics
239,"Internet Archive
Works",2,10640,10662,ORG,0,Physics
240,Wilhelm Conrad Röntgen,3,10666,10688,PERSON,0,Physics
241,LibriVox,1,10692,10700,WORK_OF_ART,0,Physics
242,Röntgen Rays: Memoirs,3,10730,10751,WORK_OF_ART,0,Physics
243,Röntgen,1,10755,10762,PERSON,0,Physics
244,Stokes,1,10764,10770,PERSON,0,Physics
245,J.J. Thomson,2,10776,10788,PERSON,0,Physics
246,1899,1,10796,10800,DATE,0,Physics
247,The New Marvel in Photography,5,10802,10831,WORK_OF_ART,0,Physics
248,Röntgen,1,10866,10873,PERSON,0,Physics
249,McClure's,1,10878,10887,ORG,0,Physics
250,Vol. 6,2,10898,10904,DATE,0,Physics
251,5,1,10910,10911,CARDINAL,0,Physics
252,April 1896,2,10913,10923,DATE,0,Physics
253,"Project Gutenberg
Röntgen's 1895",3,10930,10962,WORK_OF_ART,0,Physics
254,BibNum,1,10996,11002,WORK_OF_ART,0,Physics
255,English,1,11030,11037,LANGUAGE,0,Physics
256,Wilhelm Röntgen,2,11057,11072,PERSON,0,Physics
257,"Open Library 
Newspaper",3,11076,11099,ORG,0,Physics
258,Wilhelm Röntgen,2,11116,11131,PERSON,0,Physics
259,the 20th Century,3,11135,11151,DATE,0,Physics
260,Hendrik Antoon Lorentz,3,0,22,PERSON,1,Physics
261,18 July 1853,3,26,38,DATE,1,Physics
262,4 February 1928,3,41,56,DATE,1,Physics
263,Dutch,1,64,69,NORP,1,Physics
264,1902,1,95,99,DATE,1,Physics
265,Nobel Prize in Physics,4,100,122,WORK_OF_ART,1,Physics
266,Pieter Zeeman,2,128,141,PERSON,1,Physics
267,Zeeman,1,195,201,PERSON,1,Physics
268,Lorentz,1,225,232,PERSON,1,Physics
269,Lorentz,1,300,307,ORG,1,Physics
270,Lorentz,1,431,438,PERSON,1,Physics
271,Lorentz,1,468,475,PRODUCT,1,Physics
272,the Nobel Foundation,3,752,772,ORG,1,Physics
273,Lorentz,1,800,807,PERSON,1,Physics
274,the International Committee on Intellectual Cooperation,6,1120,1175,ORG,1,Physics
275,UNESCO,1,1195,1201,ORG,1,Physics
276,1925,1,1211,1215,DATE,1,Physics
277,1928,1,1220,1224,DATE,1,Physics
278,Hendrik Lorentz,2,1279,1294,PERSON,1,Physics
279,"Arnhem, Gelderland",2,1307,1325,GPE,1,Physics
280,Netherlands,1,1327,1338,GPE,1,Physics
281,Gerrit Frederik Lorentz,3,1351,1374,PERSON,1,Physics
282,1822,1,1376,1380,DATE,1,Physics
283,1893,1,1381,1385,DATE,1,Physics
284,Geertruida van Ginkel,3,1419,1440,PERSON,1,Physics
285,1826,1,1442,1446,DATE,1,Physics
286,1861,1,1447,1451,DATE,1,Physics
287,1862,1,1457,1461,DATE,1,Physics
288,Luberta Hupkes,2,1508,1522,PERSON,1,Physics
289,Protestant,1,1550,1560,NORP,1,Physics
290,Catholic,1,1627,1635,NORP,1,Physics
291,French,1,1654,1660,NORP,1,Physics
292,1866 to 1869,3,1674,1686,DATE,1,Physics
293,"the ""Hogere Burgerschool""",3,1700,1725,ORG,1,Physics
294,Arnhem,1,1729,1735,GPE,1,Physics
295,Johan Rudolph Thorbecke,3,1794,1817,PERSON,1,Physics
296,English,1,1933,1940,LANGUAGE,1,Physics
297,French,1,1942,1948,LANGUAGE,1,Physics
298,German,1,1954,1960,LANGUAGE,1,Physics
299,1870,1,1965,1969,DATE,1,Physics
300,University,1,2056,2066,ORG,1,Physics
301,Lorentz,1,2068,2075,PERSON,1,Physics
302,Leiden University,2,2111,2128,ORG,1,Physics
303,Frederik Kaiser,2,2202,2217,PERSON,1,Physics
304,Arnhem,1,2326,2332,GPE,1,Physics
305,1871,1,2336,2340,DATE,1,Physics
306,Leiden,1,2419,2425,GPE,1,Physics
307,1875,1,2467,2471,DATE,1,Physics
308,Lorentz,1,2473,2480,PERSON,1,Physics
309,Pieter Rijke,2,2512,2524,PERSON,1,Physics
310,"""Over de theorie der terugkaatsing en breking van het licht""",10,2546,2606,WORK_OF_ART,1,Physics
311,James Clerk Maxwell,3,2712,2731,PERSON,1,Physics
312,Leiden,1,2770,2776,GPE,1,Physics
313,17 November 1877,3,2785,2801,DATE,1,Physics
314,only 24 years of age,5,2803,2823,DATE,1,Physics
315,Lorentz,1,2825,2832,PERSON,1,Physics
316,the University of Leiden,4,2904,2928,ORG,1,Physics
317,Johan van der Waals,4,2973,2992,PERSON,1,Physics
318,the Universiteit van Amsterdam,4,3024,3054,ORG,1,Physics
319,25 January 1878,3,3059,3074,DATE,1,Physics
320,Lorentz,1,3076,3083,PERSON,1,Physics
321,"De moleculaire theoriën in de natuurkunde""",6,3120,3162,WORK_OF_ART,1,Physics
322,1881,1,3203,3207,DATE,1,Physics
323,the Royal Netherlands Academy of Arts and Sciences,8,3229,3279,ORG,1,Physics
324,the first twenty years,4,3288,3310,DATE,1,Physics
325,Leiden,1,3314,3320,GPE,1,Physics
326,Lorentz,1,3322,3329,PERSON,1,Physics
327,Lorentz,1,3526,3533,PERSON,1,Physics
328,Lorentz,1,3733,3740,PERSON,1,Physics
329,Lorentz's,1,3925,3934,ORG,1,Physics
330,Pieter Zeeman,2,3936,3949,PERSON,1,Physics
331,Zeeman,1,3966,3972,PERSON,1,Physics
332,1896,1,3983,3987,DATE,1,Physics
333,Lorentz,1,3989,3996,PERSON,1,Physics
334,the Nobel prize,3,4093,4108,WORK_OF_ART,1,Physics
335,1902,1,4123,4127,DATE,1,Physics
336,Lorentz',1,4129,4137,PERSON,1,Physics
337,Lorentz,1,4170,4177,PERSON,1,Physics
338,Lorenz,1,4178,4184,PERSON,1,Physics
339,Lorentz,1,4199,4206,ORG,1,Physics
340,Lorentzian,1,4218,4228,ORG,1,Physics
341,Lorentz,1,4247,4254,PRODUCT,1,Physics
342,Lorentz,1,4280,4287,PRODUCT,1,Physics
343,1892,1,4351,4355,DATE,1,Physics
344,1895,1,4360,4364,DATE,1,Physics
345,Lorentz,1,4366,4373,PERSON,1,Physics
346,Lorentz,1,4755,4762,PERSON,1,Physics
347,Fizeau,1,4918,4924,PERSON,1,Physics
348,1900,1,4940,4944,DATE,1,Physics
349,1904,1,4949,4953,DATE,1,Physics
350,Henri Poincaré,2,4955,4969,PERSON,1,Physics
351,Lorentz's,1,4988,4997,PERSON,1,Physics
352,Einstein,1,5215,5223,PERSON,1,Physics
353,1892,1,5276,5280,DATE,1,Physics
354,Michelson,1,5314,5323,PERSON,1,Physics
355,Morley,1,5324,5330,PERSON,1,Physics
356,Lorentz,1,5343,5350,PERSON,1,Physics
357,George FitzGerald,2,5445,5462,PERSON,1,Physics
358,1889,1,5505,5509,DATE,1,Physics
359,1899,1,5516,5520,DATE,1,Physics
360,1904,1,5534,5538,DATE,1,Physics
361,Lorentz,1,5540,5547,PERSON,1,Physics
362,Poincaré,1,5610,5618,PERSON,1,Physics
363,1905,1,5622,5626,DATE,1,Physics
364,Lorentz,1,5633,5640,PERSON,1,Physics
365,Lorentz,1,5687,5694,PERSON,1,Physics
366,Joseph Larmor,2,5700,5713,PERSON,1,Physics
367,1897,1,5783,5787,DATE,1,Physics
368,Lorentz's,1,5802,5811,NORP,1,Physics
369,Poincaré,1,5908,5916,PERSON,1,Physics
370,Einstein,1,5921,5929,PERSON,1,Physics
371,1905,1,5933,5937,DATE,1,Physics
372,1904,1,5949,5953,DATE,1,Physics
373,1904,1,6348,6352,DATE,1,Physics
374,Lorentz,1,6663,6670,PERSON,1,Physics
375,1905,1,6703,6707,DATE,1,Physics
376,Einstein,1,6709,6717,PERSON,1,Physics
377,Lorentz,1,6781,6788,PERSON,1,Physics
378,"""On the Electrodynamics of Moving Bodies""",6,6827,6868,WORK_OF_ART,1,Physics
379,today,1,6876,6881,DATE,1,Physics
380,Lorentz,1,6927,6934,PERSON,1,Physics
381,Einstein,1,6973,6981,PERSON,1,Physics
382,Lorentz,1,7021,7028,PERSON,1,Physics
383,Einstein,1,7029,7037,PERSON,1,Physics
384,1906,1,7049,7053,DATE,1,Physics
385,Lorentz's,1,7055,7064,PERSON,1,Physics
386,Columbia University,2,7134,7153,ORG,1,Physics
387,The Theory of Electrons,4,7181,7204,WORK_OF_ART,1,Physics
388,first,1,7235,7240,ORDINAL,1,Physics
389,Lorentz,1,7255,7262,PERSON,1,Physics
390,Einstein,1,7267,7275,PERSON,1,Physics
391,Kaufmann,1,7314,7322,PERSON,1,Physics
392,Lorentz,1,7385,7392,PERSON,1,Physics
393,Latin,1,7483,7488,LANGUAGE,1,Physics
394,1908,1,7564,7568,DATE,1,Physics
395,Kaufmann–Bucherer–Neumann,1,7584,7609,WORK_OF_ART,1,Physics
396,Lorentz,1,7624,7631,PERSON,1,Physics
397,"1909, 1910, 1914",3,7744,7760,DATE,1,Physics
398,1906,1,7769,7773,DATE,1,Physics
399,1909,1,7811,7815,DATE,1,Physics
400,"""The theory of electrons""",4,7828,7853,WORK_OF_ART,1,Physics
401,1915,1,7866,7870,DATE,1,Physics
402,Einstein's,1,7899,7909,PERSON,1,Physics
403,two,1,7995,7998,CARDINAL,1,Physics
404,A0,1,8009,8011,ORG,1,Physics
405,Einstein,1,8383,8391,PERSON,1,Physics
406,Einstein,1,8572,8580,PERSON,1,Physics
407,Einstein,1,8778,8786,PERSON,1,Physics
408,Michelson,1,9056,9065,PERSON,1,Physics
409,Rayleigh,1,9067,9075,PERSON,1,Physics
410,Brace,1,9080,9085,PERSON,1,Physics
411,Einstein's,1,9292,9302,PERSON,1,Physics
412,Einstein,1,9502,9510,PERSON,1,Physics
413,Lorentz,1,9633,9640,PERSON,1,Physics
414,1909,1,9748,9752,DATE,1,Physics
415,1910,1,10081,10085,DATE,1,Physics
416,Einstein,1,10905,10913,PERSON,1,Physics
417,Minkowski,1,10918,10927,PERSON,1,Physics
418,two,1,11046,11049,CARDINAL,1,Physics
419,Lorentz,1,11123,11130,PERSON,1,Physics
420,Poincaré's,1,11151,11161,ORG,1,Physics
421,Poincaré,1,11335,11343,PERSON,1,Physics
422,Einstein,1,11360,11368,PERSON,1,Physics
423,Minkowski,1,11373,11382,PERSON,1,Physics
424,Poincaré,1,11454,11462,PERSON,1,Physics
425,first,1,11620,11625,ORDINAL,1,Physics
426,Lorentz,1,11736,11743,PERSON,1,Physics
427,Lorentz,1,11772,11779,PERSON,1,Physics
428,one,1,11784,11787,CARDINAL,1,Physics
429,Einstein's,1,11820,11830,PERSON,1,Physics
430,Einstein,1,11934,11942,PERSON,1,Physics
431,Einstein's,1,12007,12017,PERSON,1,Physics
432,Hamilton's,1,12033,12043,PERSON,1,Physics
433,1915,1,12055,12059,DATE,1,Physics
434,1916,1,12110,12114,DATE,1,Physics
435,Lorentz,1,12117,12124,PERSON,1,Physics
436,1919,1,12134,12138,DATE,1,Physics
437,May 29,2,12173,12179,DATE,1,Physics
438,Albert Einstein,2,12297,12312,PERSON,1,Physics
439,Lorentz,1,12504,12511,PERSON,1,Physics
440,1926,1,12553,12557,DATE,1,Physics
441,Cornell University,2,12561,12579,ORG,1,Physics
442,Erwin Schrödinger's,2,12632,12651,PERSON,1,Physics
443,Einstein,1,12693,12701,PERSON,1,Physics
444,Lorentz,1,12711,12718,PERSON,1,Physics
445,1928,1,12721,12725,DATE,1,Physics
446,Lorentz's,1,12971,12980,GPE,1,Physics
447,1895,1,12993,12997,DATE,1,Physics
448,1953,1,12999,13003,DATE,1,Physics
449,Poincaré,1,13090,13098,PERSON,1,Physics
450,1902,1,13100,13104,DATE,1,Physics
451,Lorentz's,1,13114,13123,PERSON,1,Physics
452,Lorentz,1,13192,13199,PERSON,1,Physics
453,Lorentz,1,13354,13361,PERSON,1,Physics
454,Fizeau,1,13382,13388,PERSON,1,Physics
455,Zeeman,1,13549,13555,PERSON,1,Physics
456,Maxwell's,1,13671,13680,ORG,1,Physics
457,Paul Langevin,2,13690,13703,PERSON,1,Physics
458,1911,1,13705,13709,DATE,1,Physics
459,Lorentz,1,13719,13726,PERSON,1,Physics
460,Lorentz's,1,13740,13749,PERSON,1,Physics
461,one,1,13955,13958,CARDINAL,1,Physics
462,Lorentz,1,14090,14097,PERSON,1,Physics
463,Emil Wiechert,2,14102,14115,PERSON,1,Physics
464,Lorentz,1,14218,14225,PERSON,1,Physics
465,Wiechert,1,14260,14268,PERSON,1,Physics
466,Lorentz,1,14270,14277,PERSON,1,Physics
467,first,1,14298,14303,ORDINAL,1,Physics
468,Solvay Conference,2,14304,14321,EVENT,1,Physics
469,Brussels,1,14330,14338,GPE,1,Physics
470,the autumn of 1911,4,14342,14360,DATE,1,Physics
471,Poincaré,1,14392,14400,PERSON,1,Physics
472,Lorentz's,1,14464,14473,PERSON,1,Physics
473,twenty,1,14515,14521,CARDINAL,1,Physics
474,Newton,1,14701,14707,PERSON,1,Physics
475,the nineteenth century,3,14765,14787,DATE,1,Physics
476,Lorentz,1,14817,14824,PERSON,1,Physics
477,five years ago,3,14898,14912,DATE,1,Physics
478,1910,1,14987,14991,DATE,1,Physics
479,Lorentz,1,14993,15000,PERSON,1,Physics
480,Leiden University,2,15071,15088,ORG,1,Physics
481,1912,1,15167,15171,DATE,1,Physics
482,"the ""Physics Cabinet""",3,15244,15265,ORG,1,Physics
483,Teylers Museum,2,15269,15283,ORG,1,Physics
484,Haarlem,1,15287,15294,GPE,1,Physics
485,Leiden University,2,15321,15338,ORG,1,Physics
486,Monday,1,15374,15380,DATE,1,Physics
487,Lorentz,1,15465,15472,PERSON,1,Physics
488,Einstein,1,15489,15497,PERSON,1,Physics
489,Leiden,1,15552,15558,GPE,1,Physics
490,Einstein,1,15569,15577,PERSON,1,Physics
491,ETH Zurich,2,15638,15648,ORG,1,Physics
492,Einstein,1,15650,15658,PERSON,1,Physics
493,Lorentz's,1,15727,15736,PERSON,1,Physics
494,Lorentz,1,15768,15775,PERSON,1,Physics
495,Paul Ehrenfest,2,15786,15800,PERSON,1,Physics
496,the Leiden University,3,15858,15879,ORG,1,Physics
497,the Institute for Theoretical Physics,5,15897,15934,ORG,1,Physics
498,the Lorentz Institute,3,15963,15984,ORG,1,Physics
499,World War I,3,16015,16026,EVENT,1,Physics
500,Lorentz,1,16028,16035,PERSON,1,Physics
501,one,1,16040,16043,CARDINAL,1,Physics
502,"the ""Wetenschappelijke Commissie van Advies en Onderzoek in het Belang van Volkswelvaart en Weerbaarheid""",14,16089,16194,WORK_OF_ART,1,Physics
503,Royal Netherlands Academy of Arts and Sciences,7,16268,16314,ORG,1,Physics
504,KNAW,1,16316,16320,ORG,1,Physics
