text,n_word,start_pos,end_pos,label,subject,source_index,category
1875,1,1922,1926,DATE,Wilhelm Röntgen,0,Physics
the Academy of Agriculture,4,1953,1979,ORG,Wilhelm Röntgen,0,Physics
Hohenheim,1,1983,1992,GPE,Wilhelm Röntgen,0,Physics
Württemberg,1,1994,2005,GPE,Wilhelm Röntgen,0,Physics
Strasbourg,1,2022,2032,GPE,Wilhelm Röntgen,0,Physics
1876,1,2062,2066,DATE,Wilhelm Röntgen,0,Physics
1879,1,2075,2079,DATE,Wilhelm Röntgen,0,Physics
the University of Giessen,4,2125,2150,ORG,Wilhelm Röntgen,0,Physics
1888,1,2155,2159,DATE,Wilhelm Röntgen,0,Physics
the University of Würzburg,4,2194,2220,ORG,Wilhelm Röntgen,0,Physics
1900,1,2229,2233,DATE,Wilhelm Röntgen,0,Physics
the University of Munich,4,2237,2261,ORG,Wilhelm Röntgen,0,Physics
Bavarian,1,2289,2297,NORP,Wilhelm Röntgen,0,Physics
Röntgen,1,2310,2317,ORG,Wilhelm Röntgen,0,Physics
Iowa,1,2332,2336,GPE,Wilhelm Röntgen,0,Physics
the United States,3,2340,2357,GPE,Wilhelm Röntgen,0,Physics
Columbia University,2,2413,2432,ORG,Wilhelm Röntgen,0,Physics
New York City,3,2436,2449,GPE,Wilhelm Röntgen,0,Physics
World War,2,2507,2516,EVENT,Wilhelm Röntgen,0,Physics
Munich,1,2553,2559,GPE,Wilhelm Röntgen,0,Physics
Discovery,1,2594,2603,PRODUCT,Wilhelm Röntgen,0,Physics
1895,1,2625,2629,DATE,Wilhelm Röntgen,0,Physics
the Würzburg Physical Institute of the University of Würzburg,9,2652,2713,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,2715,2722,ORG,Wilhelm Röntgen,0,Physics
Heinrich Hertz,2,2861,2875,PERSON,Wilhelm Röntgen,0,Physics
Johann Hittorf,2,2877,2891,PERSON,Wilhelm Röntgen,0,Physics
William Crookes,2,2893,2908,PERSON,Wilhelm Röntgen,0,Physics
Nikola Tesla,2,2910,2922,LOC,Wilhelm Röntgen,0,Physics
Philipp von Lenard,3,2927,2945,PERSON,Wilhelm Röntgen,0,Physics
early November,2,2949,2963,DATE,Wilhelm Röntgen,0,Physics
one,1,3001,3004,CARDINAL,Wilhelm Röntgen,0,Physics
Lenard,1,3008,3014,PERSON,Wilhelm Röntgen,0,Physics
Röntgen,1,3529,3536,ORG,Wilhelm Röntgen,0,Physics
the late afternoon,3,3671,3689,TIME,Wilhelm Röntgen,0,Physics
8 November 1895,3,3693,3708,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,3710,3717,ORG,Wilhelm Röntgen,0,Physics
Ruhmkorff,1,3938,3947,GPE,Wilhelm Röntgen,0,Physics
Röntgen,1,4059,4066,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,4316,4323,ORG,Wilhelm Röntgen,0,Physics
a few feet,3,4364,4374,QUANTITY,Wilhelm Röntgen,0,Physics
Röntgen,1,4667,4674,ORG,Wilhelm Röntgen,0,Physics
40  ,2,4706,4710,TIME,Wilhelm Röntgen,0,Physics
8 November,2,4713,4723,DATE,Wilhelm Röntgen,0,Physics
Friday,1,4730,4736,DATE,Wilhelm Röntgen,0,Physics
the weekend,2,4762,4773,DATE,Wilhelm Röntgen,0,Physics
first,1,4813,4818,ORDINAL,Wilhelm Röntgen,0,Physics
the following weeks,3,4829,4848,DATE,Wilhelm Röntgen,0,Physics
Röntgenograms,1,5144,5157,WORK_OF_ART,Wilhelm Röntgen,0,Physics
one,1,5164,5167,CARDINAL,Wilhelm Röntgen,0,Physics
Röntgen,1,5252,5259,ORG,Wilhelm Röntgen,0,Physics
first,1,5358,5363,ORDINAL,Wilhelm Röntgen,0,Physics
About six weeks,3,5458,5473,DATE,Wilhelm Röntgen,0,Physics
Anna Bertha's,2,5551,5564,PERSON,Wilhelm Röntgen,0,Physics
Albert von Kölliker,3,5680,5699,PERSON,Wilhelm Röntgen,0,Physics
Röntgen,1,5728,5735,ORG,Wilhelm Röntgen,0,Physics
A New Kind of Rays,5,5758,5776,WORK_OF_ART,Wilhelm Röntgen,0,Physics
Art von Strahlen,3,5795,5811,PERSON,Wilhelm Röntgen,0,Physics
28 December 1895,3,5831,5847,DATE,Wilhelm Röntgen,0,Physics
5 January 1896,3,5852,5866,DATE,Wilhelm Röntgen,0,Physics
Austrian,1,5871,5879,NORP,Wilhelm Röntgen,0,Physics
Röntgen,1,5899,5906,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,5947,5954,ORG,Wilhelm Röntgen,0,Physics
the University of Würzburg,4,6010,6036,ORG,Wilhelm Röntgen,0,Physics
the Rumford Medal of the British Royal Society,8,6075,6121,ORG,Wilhelm Röntgen,0,Physics
1896,1,6125,6129,DATE,Wilhelm Röntgen,0,Physics
Philipp Lenard,2,6144,6158,PERSON,Wilhelm Röntgen,0,Physics
three,1,6307,6312,CARDINAL,Wilhelm Röntgen,0,Physics
between 1895 and 1897,4,6330,6351,DATE,Wilhelm Röntgen,0,Physics
Today,1,6353,6358,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,6360,6367,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,6506,6513,ORG,Wilhelm Röntgen,0,Physics
Anna Bertha Ludwig,3,6529,6547,PERSON,Wilhelm Röntgen,0,Physics
47 years,2,6552,6560,DATE,Wilhelm Röntgen,0,Physics
1919,1,6580,6584,DATE,Wilhelm Röntgen,0,Physics
age 80,2,6588,6594,DATE,Wilhelm Röntgen,0,Physics
1866,1,6599,6603,DATE,Wilhelm Röntgen,0,Physics
Zürich,1,6616,6622,GPE,Wilhelm Röntgen,0,Physics
Anna,1,6626,6630,PERSON,Wilhelm Röntgen,0,Physics
Zum Grünen Glas,3,6648,6663,PERSON,Wilhelm Röntgen,0,Physics
1869,1,6685,6689,DATE,Wilhelm Röntgen,0,Physics
Apeldoorn,1,6701,6710,GPE,Wilhelm Röntgen,0,Physics
Netherlands,1,6712,6723,GPE,Wilhelm Röntgen,0,Physics
7 July 1872,3,6727,6738,DATE,Wilhelm Röntgen,0,Physics
Anna,1,6761,6765,PERSON,Wilhelm Röntgen,0,Physics
six years,2,6772,6781,DATE,Wilhelm Röntgen,0,Physics
Wilhelm,1,6782,6789,PERSON,Wilhelm Röntgen,0,Physics
Röntgen,1,6933,6940,ORG,Wilhelm Röntgen,0,Physics
one,1,6966,6969,CARDINAL,Wilhelm Röntgen,0,Physics
Josephine Bertha Ludwig,3,6977,7000,PERSON,Wilhelm Röntgen,0,Physics
age 6,2,7023,7028,DATE,Wilhelm Röntgen,0,Physics
Anna,1,7047,7051,PERSON,Wilhelm Röntgen,0,Physics
1887,1,7076,7080,DATE,Wilhelm Röntgen,0,Physics
two million,2,7097,7108,CARDINAL,Wilhelm Röntgen,0,Physics
Reichsmarks,1,7109,7120,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,7168,7175,ORG,Wilhelm Röntgen,0,Physics
Nobel,1,7310,7315,WORK_OF_ART,Wilhelm Röntgen,0,Physics
Röntgen,1,7329,7336,ORG,Wilhelm Röntgen,0,Physics
"50,000 Swedish krona",3,7349,7369,QUANTITY,Wilhelm Röntgen,0,Physics
the University of Würzburg,4,7385,7411,ORG,Wilhelm Röntgen,0,Physics
Niederer Adelstitel,2,7520,7539,ORG,Wilhelm Röntgen,0,Physics
von Röntgen,2,7615,7626,PERSON,Wilhelm Röntgen,0,Physics
World War I,3,7658,7669,EVENT,Wilhelm Röntgen,0,Physics
Röntgen,1,7671,7678,ORG,Wilhelm Röntgen,0,Physics
years,1,7720,7725,DATE,Wilhelm Röntgen,0,Physics
Weilheim,1,7749,7757,GPE,Wilhelm Röntgen,0,Physics
Munich,1,7764,7770,GPE,Wilhelm Röntgen,0,Physics
10 February 1923,3,7788,7804,DATE,Wilhelm Röntgen,0,Physics
113,1,7994,7997,CARDINAL,Wilhelm Röntgen,0,Physics
the Dutch Reformed Church,4,8016,8041,ORG,Wilhelm Röntgen,0,Physics
Honours,1,8048,8055,ORG,Wilhelm Röntgen,0,Physics
1901,1,8073,8077,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,8079,8086,ORG,Wilhelm Röntgen,0,Physics
first,1,8103,8108,ORDINAL,Wilhelm Röntgen,0,Physics
Nobel Prize in Physics,4,8109,8131,WORK_OF_ART,Wilhelm Röntgen,0,Physics
Nobel,1,8337,8342,WORK_OF_ART,Wilhelm Röntgen,0,Physics
39,1,8353,8355,CARDINAL,Wilhelm Röntgen,0,Physics
Röntgen,1,8357,8364,ORG,Wilhelm Röntgen,0,Physics
"50,000",1,8377,8383,CARDINAL,Wilhelm Röntgen,0,Physics
Swedish,1,8384,8391,NORP,Wilhelm Röntgen,0,Physics
his Nobel Prize,3,8410,8425,WORK_OF_ART,Wilhelm Röntgen,0,Physics
the University of Würzburg,4,8457,8483,ORG,Wilhelm Röntgen,0,Physics
Marie,1,8490,8495,PERSON,Wilhelm Röntgen,0,Physics
Pierre Curie,2,8500,8512,PERSON,Wilhelm Röntgen,0,Physics
Röntgen,1,8514,8521,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,8676,8683,ORG,Wilhelm Röntgen,0,Physics
Barnard Medal for Meritorious Service,5,8701,8738,PERSON,Wilhelm Röntgen,0,Physics
1900,1,8753,8757,DATE,Wilhelm Röntgen,0,Physics
Rumford Medal,2,8781,8794,PERSON,Wilhelm Röntgen,0,Physics
1896,1,8796,8800,DATE,Wilhelm Röntgen,0,Physics
Matteucci Medal,2,8802,8817,WORK_OF_ART,Wilhelm Röntgen,0,Physics
1896,1,8819,8823,DATE,Wilhelm Röntgen,0,Physics
Elliott Cresson Medal,3,8825,8846,PERSON,Wilhelm Röntgen,0,Physics
1897,1,8848,8852,DATE,Wilhelm Röntgen,0,Physics
Nobel Prize for Physics,4,8854,8877,WORK_OF_ART,Wilhelm Röntgen,0,Physics
1901,1,8879,8883,DATE,Wilhelm Röntgen,0,Physics
November 2004,2,8888,8901,DATE,Wilhelm Röntgen,0,Physics
IUPAC,1,8902,8907,CARDINAL,Wilhelm Röntgen,0,Physics
111,1,8929,8932,CARDINAL,Wilhelm Röntgen,0,Physics
November 2011,2,8991,9004,DATE,Wilhelm Röntgen,0,Physics
Route Röntgen',2,9007,9021,FAC,Wilhelm Röntgen,0,Physics
CERN,1,9033,9037,GPE,Wilhelm Röntgen,0,Physics
Geneva,1,9039,9045,GPE,Wilhelm Röntgen,0,Physics
Switzerland,1,9047,9058,GPE,Wilhelm Röntgen,0,Physics
2013,1,9081,9085,DATE,Wilhelm Röntgen,0,Physics
the American Philosophical Society,4,9129,9163,ORG,Wilhelm Röntgen,0,Physics
1897,1,9167,9171,DATE,Wilhelm Röntgen,0,Physics
1907,1,9176,9180,DATE,Wilhelm Röntgen,0,Physics
the Royal Netherlands Academy of Arts and Sciences,8,9211,9261,ORG,Wilhelm Röntgen,0,Physics
the National Library of Medicine,5,9316,9348,ORG,Wilhelm Röntgen,0,Physics
Bethesda,1,9352,9360,GPE,Wilhelm Röntgen,0,Physics
Maryland,1,9362,9370,GPE,Wilhelm Röntgen,0,Physics
Today,1,9372,9377,DATE,Wilhelm Röntgen,0,Physics
Remscheid-Lennep,1,9382,9398,GPE,Wilhelm Röntgen,0,Physics
40 kilometres,2,9400,9413,QUANTITY,Wilhelm Röntgen,0,Physics
Röntgen,1,9422,9429,ORG,Wilhelm Röntgen,0,Physics
Düsseldorf,1,9446,9456,GPE,Wilhelm Röntgen,0,Physics
the Deutsches Röntgen-Museum,3,9461,9489,ORG,Wilhelm Röntgen,0,Physics
Würzburg,1,9495,9503,GPE,Wilhelm Röntgen,0,Physics
the Röntgen Memorial Site,4,9613,9638,ORG,Wilhelm Röntgen,0,Physics
World Radiography Day,3,9640,9661,EVENT,Wilhelm Röntgen,0,Physics
World Radiography Day,3,9663,9684,EVENT,Wilhelm Röntgen,0,Physics
annual,1,9691,9697,DATE,Wilhelm Röntgen,0,Physics
8 November each year,4,9784,9804,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,9845,9852,ORG,Wilhelm Röntgen,0,Physics
2012,1,9893,9897,DATE,Wilhelm Röntgen,0,Physics
the European Society of Radiology,5,9928,9961,ORG,Wilhelm Röntgen,0,Physics
the Radiological Society of North America,6,9963,10004,ORG,Wilhelm Röntgen,0,Physics
the American College of Radiology,5,10010,10043,ORG,Wilhelm Röntgen,0,Physics
Röntgen Peak,2,10045,10057,PERSON,Wilhelm Röntgen,0,Physics
Antarctica,1,10061,10071,LOC,Wilhelm Röntgen,0,Physics
Wilhelm Röntgen,2,10087,10102,PERSON,Wilhelm Röntgen,0,Physics
Roentgen,1,10122,10130,PERSON,Wilhelm Röntgen,0,Physics
German,1,10168,10174,NORP,Wilhelm Röntgen,0,Physics
Röntgen Memorial Site,3,10201,10222,ORG,Wilhelm Röntgen,0,Physics
Wilhelm Röntgen,2,10266,10281,PERSON,Wilhelm Röntgen,0,Physics
Nobelprize.org,1,10285,10299,ORG,Wilhelm Röntgen,0,Physics
Annotated,1,10301,10310,ORG,Wilhelm Röntgen,0,Physics
Wilhelm Röntgen,2,10328,10343,PERSON,Wilhelm Röntgen,0,Physics
the Alsos Digital Library Archived,5,10349,10383,ORG,Wilhelm Röntgen,0,Physics
3 August 2017,3,10384,10397,DATE,Wilhelm Röntgen,0,Physics
the Wayback Machine,3,10401,10420,ORG,Wilhelm Röntgen,0,Physics
Wilhelm Conrad Röntgen Biography,4,10421,10453,PERSON,Wilhelm Röntgen,0,Physics
First,1,10480,10485,ORDINAL,Wilhelm Röntgen,0,Physics
Photogram,1,10492,10501,FAC,Wilhelm Röntgen,0,Physics
American,1,10506,10514,NORP,Wilhelm Röntgen,0,Physics
Roentgen Ray Society,3,10515,10535,PERSON,Wilhelm Röntgen,0,Physics
Deutsches Röntgen-Museum,2,10536,10560,ORG,Wilhelm Röntgen,0,Physics
German Röntgen Museum,3,10562,10583,ORG,Wilhelm Röntgen,0,Physics
Remscheid-Lennep,1,10585,10601,ORG,Wilhelm Röntgen,0,Physics
Wilhelm,1,10621,10628,PERSON,Wilhelm Röntgen,0,Physics
"Internet Archive
Works",2,10640,10662,WORK_OF_ART,Wilhelm Röntgen,0,Physics
Wilhelm Conrad Röntgen,3,10666,10688,PERSON,Wilhelm Röntgen,0,Physics
LibriVox,1,10692,10700,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,10755,10762,ORG,Wilhelm Röntgen,0,Physics
J.J. Thomson,2,10776,10788,PERSON,Wilhelm Röntgen,0,Physics
1899,1,10796,10800,DATE,Wilhelm Röntgen,0,Physics
The New Marvel,3,10802,10816,ORG,Wilhelm Röntgen,0,Physics
Röntgen,1,10866,10873,ORG,Wilhelm Röntgen,0,Physics
McClure,1,10878,10885,GPE,Wilhelm Röntgen,0,Physics
Vol,1,10898,10901,PERSON,Wilhelm Röntgen,0,Physics
6,1,10903,10904,CARDINAL,Wilhelm Röntgen,0,Physics
April 1896,2,10913,10923,DATE,Wilhelm Röntgen,0,Physics
Project Gutenberg,2,10930,10947,PERSON,Wilhelm Röntgen,0,Physics
Röntgen,1,10948,10955,ORG,Wilhelm Röntgen,0,Physics
1895,1,10958,10962,DATE,Wilhelm Röntgen,0,Physics
BibNum,1,10996,11002,ORG,Wilhelm Röntgen,0,Physics
English,1,11030,11037,LANGUAGE,Wilhelm Röntgen,0,Physics
Wilhelm Röntgen,2,11057,11072,PERSON,Wilhelm Röntgen,0,Physics
"Open Library 
Newspaper",3,11076,11099,WORK_OF_ART,Wilhelm Röntgen,0,Physics
Wilhelm Röntgen,2,11116,11131,PERSON,Wilhelm Röntgen,0,Physics
the 20th,2,11135,11143,DATE,Wilhelm Röntgen,0,Physics
Century Press Archives,3,11144,11166,ORG,Wilhelm Röntgen,0,Physics
Hendrik Antoon Lorentz,3,0,22,PERSON,Hendrik Lorentz,1,Physics
18 July 1853,3,26,38,DATE,Hendrik Lorentz,1,Physics
February 1928,2,43,56,DATE,Hendrik Lorentz,1,Physics
Dutch,1,64,69,NORP,Hendrik Lorentz,1,Physics
1902,1,95,99,DATE,Hendrik Lorentz,1,Physics
Nobel Prize in Physics with Pieter Zeeman,7,100,141,WORK_OF_ART,Hendrik Lorentz,1,Physics
Zeeman,1,195,201,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,225,232,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,300,307,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,431,438,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,468,475,PERSON,Hendrik Lorentz,1,Physics
the Nobel Foundation,3,752,772,ORG,Hendrik Lorentz,1,Physics
Lorentz,1,800,807,PERSON,Hendrik Lorentz,1,Physics
the International Committee on Intellectual Cooperation,6,1120,1175,ORG,Hendrik Lorentz,1,Physics
UNESCO,1,1195,1201,ORG,Hendrik Lorentz,1,Physics
between 1925 and 1928,4,1203,1224,DATE,Hendrik Lorentz,1,Physics
Hendrik Lorentz,2,1279,1294,PERSON,Hendrik Lorentz,1,Physics
Arnhem,1,1307,1313,GPE,Hendrik Lorentz,1,Physics
Gelderland,1,1315,1325,GPE,Hendrik Lorentz,1,Physics
Netherlands,1,1327,1338,GPE,Hendrik Lorentz,1,Physics
Gerrit Frederik Lorentz,3,1351,1374,PERSON,Hendrik Lorentz,1,Physics
1822–1893,1,1376,1385,CARDINAL,Hendrik Lorentz,1,Physics
Geertruida van Ginkel,3,1419,1440,PERSON,Hendrik Lorentz,1,Physics
1862,1,1457,1461,DATE,Hendrik Lorentz,1,Physics
Luberta Hupkes,2,1508,1522,FAC,Hendrik Lorentz,1,Physics
Catholic,1,1627,1635,NORP,Hendrik Lorentz,1,Physics
French,1,1654,1660,NORP,Hendrik Lorentz,1,Physics
1866 to 1869,3,1674,1686,DATE,Hendrik Lorentz,1,Physics
"the ""Hogere Burgerschool""",3,1700,1725,ORG,Hendrik Lorentz,1,Physics
Arnhem,1,1729,1735,ORG,Hendrik Lorentz,1,Physics
Johan Rudolph Thorbecke,3,1794,1817,PERSON,Hendrik Lorentz,1,Physics
English,1,1933,1940,LANGUAGE,Hendrik Lorentz,1,Physics
French,1,1942,1948,NORP,Hendrik Lorentz,1,Physics
German,1,1954,1960,NORP,Hendrik Lorentz,1,Physics
1870,1,1965,1969,DATE,Hendrik Lorentz,1,Physics
University,1,2056,2066,ORG,Hendrik Lorentz,1,Physics
Lorentz,1,2068,2075,PERSON,Hendrik Lorentz,1,Physics
Leiden University,2,2111,2128,ORG,Hendrik Lorentz,1,Physics
Frederik Kaiser,2,2202,2217,PERSON,Hendrik Lorentz,1,Physics
Arnhem,1,2326,2332,ORG,Hendrik Lorentz,1,Physics
1871,1,2336,2340,DATE,Hendrik Lorentz,1,Physics
Leiden,1,2419,2425,GPE,Hendrik Lorentz,1,Physics
1875,1,2467,2471,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,2473,2480,PERSON,Hendrik Lorentz,1,Physics
Pieter Rijke,2,2512,2524,PERSON,Hendrik Lorentz,1,Physics
James Clerk Maxwell,3,2712,2731,PERSON,Hendrik Lorentz,1,Physics
Leiden,1,2770,2776,GPE,Hendrik Lorentz,1,Physics
17 November 1877,3,2785,2801,DATE,Hendrik Lorentz,1,Physics
only 24 years of age,5,2803,2823,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,2825,2832,PERSON,Hendrik Lorentz,1,Physics
the University of Leiden,4,2904,2928,ORG,Hendrik Lorentz,1,Physics
Johan van der,3,2973,2986,PERSON,Hendrik Lorentz,1,Physics
the Universiteit van Amsterdam,4,3024,3054,FAC,Hendrik Lorentz,1,Physics
25 January 1878,3,3059,3074,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,3076,3083,PERSON,Hendrik Lorentz,1,Physics
theoriën,1,3135,3143,GPE,Hendrik Lorentz,1,Physics
1881,1,3203,3207,DATE,Hendrik Lorentz,1,Physics
the Royal Netherlands Academy of Arts and Sciences,8,3229,3279,ORG,Hendrik Lorentz,1,Physics
the first twenty years,4,3288,3310,DATE,Hendrik Lorentz,1,Physics
Leiden,1,3314,3320,GPE,Hendrik Lorentz,1,Physics
Lorentz,1,3322,3329,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,3526,3533,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,3733,3740,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,3925,3932,PERSON,Hendrik Lorentz,1,Physics
Pieter Zeeman,2,3936,3949,PERSON,Hendrik Lorentz,1,Physics
Zeeman,1,3966,3972,PERSON,Hendrik Lorentz,1,Physics
1896,1,3983,3987,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,3989,3996,PERSON,Hendrik Lorentz,1,Physics
the Nobel prize,3,4093,4108,WORK_OF_ART,Hendrik Lorentz,1,Physics
1902,1,4123,4127,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,4129,4136,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,4170,4177,PERSON,Hendrik Lorentz,1,Physics
Lorenz,1,4178,4184,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,4199,4206,PERSON,Hendrik Lorentz,1,Physics
Lorentzian,1,4218,4228,NORP,Hendrik Lorentz,1,Physics
Lorentz,1,4247,4254,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,4280,4287,PERSON,Hendrik Lorentz,1,Physics
Electrodynamics,1,4311,4326,ORG,Hendrik Lorentz,1,Physics
1892 and 1895,3,4351,4364,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,4366,4373,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,4755,4762,PERSON,Hendrik Lorentz,1,Physics
Fizeau,1,4918,4924,PERSON,Hendrik Lorentz,1,Physics
1900 and 1904,3,4940,4953,DATE,Hendrik Lorentz,1,Physics
Henri Poincaré,2,4955,4969,ORG,Hendrik Lorentz,1,Physics
Lorentz,1,4988,4995,PERSON,Hendrik Lorentz,1,Physics
Einstein,1,5215,5223,PERSON,Hendrik Lorentz,1,Physics
1892,1,5276,5280,DATE,Hendrik Lorentz,1,Physics
Michelson,1,5314,5323,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,5343,5350,PERSON,Hendrik Lorentz,1,Physics
George FitzGerald,2,5445,5462,PERSON,Hendrik Lorentz,1,Physics
1889,1,5505,5509,DATE,Hendrik Lorentz,1,Physics
1899,1,5516,5520,DATE,Hendrik Lorentz,1,Physics
1904,1,5534,5538,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,5540,5547,PERSON,Hendrik Lorentz,1,Physics
Poincaré,1,5610,5618,ORG,Hendrik Lorentz,1,Physics
1905,1,5622,5626,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,5633,5640,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,5687,5694,PERSON,Hendrik Lorentz,1,Physics
Joseph Larmor,2,5700,5713,PERSON,Hendrik Lorentz,1,Physics
1897,1,5783,5787,DATE,Hendrik Lorentz,1,Physics
Larmor,1,5789,5795,ORG,Hendrik Lorentz,1,Physics
Lorentz,1,5802,5809,PERSON,Hendrik Lorentz,1,Physics
Poincaré,1,5908,5916,GPE,Hendrik Lorentz,1,Physics
Einstein,1,5921,5929,GPE,Hendrik Lorentz,1,Physics
1905,1,5933,5937,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,5939,5946,PERSON,Hendrik Lorentz,1,Physics
1904,1,5949,5953,DATE,Hendrik Lorentz,1,Physics
1904,1,6348,6352,DATE,Hendrik Lorentz,1,Physics
Newtonian,1,6509,6518,NORP,Hendrik Lorentz,1,Physics
Lorentz,1,6663,6670,PERSON,Hendrik Lorentz,1,Physics
1905,1,6703,6707,DATE,Hendrik Lorentz,1,Physics
Einstein,1,6709,6717,PERSON,Hendrik Lorentz,1,Physics
Lorentz,1,6781,6788,PERSON,Hendrik Lorentz,1,Physics
On the Electrodynamics of Moving Bodies,6,6828,6867,WORK_OF_ART,Hendrik Lorentz,1,Physics
today,1,6876,6881,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,6927,6934,PERSON,Hendrik Lorentz,1,Physics
Einstein,1,6973,6981,PERSON,Hendrik Lorentz,1,Physics
1906,1,7049,7053,DATE,Hendrik Lorentz,1,Physics
Lorentz,1,7055,7062,PERSON,Hendrik Lorentz,1,Physics
Columbia University,2,7134,7153,ORG,Hendrik Lorentz,1,Physics
The Theory of Electrons,4,7181,7204,WORK_OF_ART,Hendrik Lorentz,1,Physics
first,1,7235,7240,ORDINAL,Hendrik Lorentz,1,Physics
